Episode,Reward,Steps,Finish,deviation,Exploration_rate,laser,Mean vel,Counter laser
276,34.5064791935452,174,False,-84.0,-1.0,3.805324967894749,6.110061286519089,99.42528735632183
277,9.678968437227255,135,False,-91.0,-1.0,3.9225392679389497,5.0265238436663315,100.0
278,78.95045279539517,213,False,-98.0,-1.0,3.9832872091601885,6.307629397160815,69.48356807511738
279,114.98149151340388,232,False,-98.0,-1.0,3.773435261387932,7.216562751934519,45.689655172413794
280,-8.537953165188888,133,False,-100.0,-1.0,3.8441714251554444,4.377789352020893,100.0
281,21.516126523070795,155,False,-104.0,-1.0,3.8651502386425722,5.198551441113194,100.0
282,143.8287423943979,310,False,-79.0,-1.0,3.6939985057903146,7.412348526754537,98.38709677419355
283,40.95478456293334,182,False,-94.0,-1.0,3.6959453797683954,6.1418005918308705,99.45054945054946
284,53.042727634822555,160,False,-97.0,-1.0,3.967885315367843,5.707699893777317,68.125
285,80.72164252226543,246,False,-83.0,-1.0,3.8934620972825216,6.278626761652863,99.59349593495935
286,117.63979490327284,287,False,-88.0,-1.0,3.8273239261207936,5.930687522951299,98.95470383275261
287,21.12976044117447,143,False,-98.0,-1.0,3.69364895735859,4.655669822798833,100.0
288,143.695395480788,346,False,-82.0,-1.0,3.9592124915419245,6.879730118497818,98.55491329479769
289,86.55171247461689,211,False,-91.0,-1.0,3.8210493899383073,6.398027920212306,59.241706161137444
